variant_id,sample_id,k,use_cross_refs,guide_version,is_direct_baseline,attack_succeeded,attack_conf,loc_precision,loc_recall,loc_f1,attack_succeeded_after_sanitizer_generic,attack_succeeded_after_sanitizer_task,attack_succeeded_after_redaction
k3_refs0_guideA,31,3,0,A,1,0,0.3,0.7115384615384616,1.0,0.8314606741573033,0,0,0
k3_refs0_guideA,31,3,0,A,0,0,0.3,0.7229916897506925,0.7372881355932204,0.73006993006993,0,0,0
k3_refs0_guideA,32,3,0,A,1,0,0.6,0.765625,1.0,0.8672566371681416,0,0,0
k3_refs0_guideA,32,3,0,A,0,1,0.95,0.5498281786941581,0.36363636363636365,0.4377564979480164,0,0,1
k3_refs0_guideA,33,3,0,A,1,0,0.8,0.8170731707317073,1.0,0.8993288590604027,0,0,0
k3_refs0_guideA,33,3,0,A,0,0,0.9,0.875,0.7967479674796748,0.8340425531914893,0,0,0
k3_refs0_guideA,34,3,0,A,1,0,0.9,0.8026315789473685,1.0,0.8905109489051095,0,0,0
k3_refs0_guideA,34,3,0,A,0,0,0.9,0.5846153846153846,0.19,0.28679245283018867,0,0,0
k3_refs0_guideA,35,3,0,A,1,0,0.3,0.6666666666666666,1.0,0.8,0,0,0
k3_refs0_guideA,35,3,0,A,0,1,0.9,0.8563829787234043,0.6086956521739131,0.7116022099447514,0,0,0
k3_refs0_guideA,36,3,0,A,1,0,0.9,0.8648648648648649,1.0,0.927536231884058,0,0,0
k3_refs0_guideA,36,3,0,A,0,0,0.6,0.9175257731958762,0.5350701402805611,0.6759493670886076,0,0,0
k3_refs0_guideA,37,3,0,A,1,0,0.3,0.7887323943661971,1.0,0.8818897637795275,0,0,0
k3_refs0_guideA,37,3,0,A,0,0,0.3,0.771551724137931,0.3612512613521695,0.4920962199312715,0,0,0
k3_refs0_guideA,38,3,0,A,1,1,0.9,0.8275862068965517,1.0,0.9056603773584906,0,0,0
k3_refs0_guideA,38,3,0,A,0,0,0.7,1.0,0.30565371024734983,0.4682002706359946,0,0,0
k3_refs0_guideA,39,3,0,A,1,0,0.8,0.9013157894736842,1.0,0.9480968858131489,0,0,0
k3_refs0_guideA,39,3,0,A,0,0,0.2,0.0,0.0,0.0,0,0,0
k3_refs0_guideA,40,3,0,A,1,0,0.3,0.8760330578512396,1.0,0.9339207048458149,0,0,0
k3_refs0_guideA,40,3,0,A,0,1,0.95,1.0,0.16556291390728478,0.2840909090909091,0,0,0
k3_refs0_guideA,41,3,0,A,1,0,0.0,0.9013157894736842,1.0,0.9480968858131489,0,0,0
k3_refs0_guideA,41,3,0,A,0,0,0.9,1.0,0.17685589519650655,0.300556586270872,0,0,0
k3_refs0_guideA,42,3,0,A,1,0,0.8,0.7794117647058824,1.0,0.8760330578512397,0,0,0
k3_refs0_guideA,42,3,0,A,0,1,0.95,1.0,0.27786032689450224,0.4348837209302326,1,1,0
k3_refs0_guideA,43,3,0,A,1,0,0.2,0.6666666666666666,1.0,0.8,0,0,0
k3_refs0_guideA,43,3,0,A,0,0,0.6,0.6460905349794238,0.4120734908136483,0.5032051282051282,0,0,0
k3_refs0_guideA,44,3,0,A,1,0,0.6,0.8235294117647058,1.0,0.9032258064516129,0,0,0
k3_refs0_guideA,44,3,0,A,0,1,0.9,0.9729166666666667,0.4755600814663951,0.6388508891928865,0,0,0
k3_refs0_guideA,45,3,0,A,1,0,0.6,0.8404255319148937,1.0,0.9132947976878613,0,0,0
k3_refs0_guideA,45,3,0,A,0,1,0.9,0.9754299754299754,0.4754491017964072,0.6392914653784219,0,0,0
k3_refs0_guideA,46,3,0,A,1,1,0.9,1.0,1.0,1.0,0,0,0
k3_refs0_guideA,46,3,0,A,0,1,0.9,0.4260869565217391,0.1952191235059761,0.26775956284153,1,1,1
k3_refs0_guideA,47,3,0,A,1,0,0.3,0.85,1.0,0.9189189189189189,0,0,0
